transaction_id,items
1,"Power Bank, Pen Set, Laptop Stand, Desk Organizer, Notebook, USB-C Cable"
2,"Power Bank, Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Notebook, Sticky Notes, USB-C Cable, Desk Lamp, Wireless Mouse"
3,"Power Bank, French Press, Coffee Mug, Screen Protector, Phone Case"
4,"French Press, Pen Set, Coffee Mug, Notebook, Sticky Notes"
5,"Laptop Stand, Power Bank"
6,"Power Bank, Pen Set, Laptop Stand, Water Bottle, Screen Protector, Notebook, Phone Case, Sticky Notes, USB-C Cable, Wireless Mouse"
7,"Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Wireless Mouse"
8,"Power Bank, Coffee Mug, Screen Protector, Phone Case, USB-C Cable"
9,"Cutting Board, Pen Set, Notebook, Power Bank"
10,"Desk Organizer, Pen Set, Notebook"
11,"French Press, Screen Protector, Coffee Mug"
12,"Bluetooth Speaker, French Press, Wireless Mouse, Coffee Mug"
13,"French Press, Pen Set, Desk Organizer, Screen Protector, Notebook, Desk Lamp"
14,"Power Bank, Screen Protector, Phone Case, USB-C Cable, Desk Lamp"
15,"USB-C Cable, Pen Set, Notebook, Coffee Mug"
16,"French Press, Pen Set, Coffee Mug, Laptop Stand, Phone Case, Wireless Mouse"
17,"USB-C Cable, Kitchen Scale, Notebook, Power Bank"
18,"Coffee Mug, Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp, Wireless Mouse"
19,"Power Bank, Pen Set, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp"
20,"French Press, Pen Set, Coffee Mug, Laptop Stand, Notebook, Wireless Mouse"
21,"Power Bank, French Press, Coffee Mug, USB-C Cable, Bluetooth Speaker"
22,"French Press, Pen Set, Desk Organizer, Screen Protector, Notebook, Desk Lamp"
23,"French Press, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Wireless Mouse"
24,"French Press, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Sticky Notes, Desk Lamp, Wireless Mouse"
25,"Kitchen Scale, Wireless Mouse, Laptop Stand"
26,"Power Bank, Pen Set, Laptop Stand, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp, Wireless Mouse"
27,"French Press, Pen Set, Coffee Mug, Laptop Stand, Notebook, Wireless Mouse"
28,"Cutting Board, French Press, Coffee Mug, Laptop Stand, Desk Lamp, Wireless Mouse"
29,"French Press, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Wireless Mouse"
30,"Pen Set, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Notebook"
31,"Power Bank, Kitchen Scale, USB-C Cable, Desk Lamp, Wireless Mouse"
32,"Power Bank, French Press, Pen Set, Notebook, USB-C Cable"
33,"USB-C Cable, Power Bank, Wireless Mouse, Laptop Stand"
34,"French Press, Coffee Mug, Desk Organizer, Notebook, Sticky Notes, Desk Lamp"
35,"French Press, Pen Set, Coffee Mug, Water Bottle, Notebook, Phone Case, USB-C Cable"
36,"Power Bank, Coffee Mug, Screen Protector, Phone Case, USB-C Cable"
37,"French Press, Pen Set, Coffee Mug, Screen Protector, Phone Case, Notebook"
38,"Pen Set, Laptop Stand, Water Bottle, Screen Protector, Phone Case, Notebook, Kitchen Scale, Wireless Mouse"
39,"French Press, Screen Protector, Phone Case, Coffee Mug"
40,"French Press, Screen Protector, Phone Case"
41,"Notebook, Wireless Mouse, Laptop Stand"
42,"Power Bank, French Press, Coffee Mug, Desk Organizer, Water Bottle, USB-C Cable"
43,"Desk Lamp, Kitchen Scale, Wireless Mouse, Laptop Stand"
44,"Desk Organizer, Kitchen Scale, Screen Protector, Notebook, Desk Lamp"
45,"Pen Set, Notebook, Sticky Notes"
46,"Power Bank, Kitchen Scale, Screen Protector, Phone Case, USB-C Cable"
47,"Power Bank, Pen Set, Laptop Stand, Notebook, USB-C Cable, Wireless Mouse"
48,"USB-C Cable, Screen Protector, Coffee Mug, Power Bank"
49,"Screen Protector, Phone Case, Sticky Notes"
50,"Desk Organizer, Desk Lamp, Sticky Notes"
51,"French Press, Pen Set, Notebook, Coffee Mug"
52,"French Press, Screen Protector, Phone Case, Coffee Mug"
53,"USB-C Cable, French Press, Coffee Mug, Power Bank"
54,"Pen Set, Desk Organizer, Notebook, Desk Lamp, Wireless Mouse"
55,"USB-C Cable, Pen Set, Coffee Mug, Power Bank"
56,"Phone Case, Wireless Mouse, Laptop Stand"
57,"USB-C Cable, Pen Set, Notebook"
58,"French Press, Laptop Stand, Screen Protector, Phone Case, Wireless Mouse"
59,"French Press, Coffee Mug, Screen Protector, Phone Case, USB-C Cable, Wireless Mouse"
60,"Power Bank, French Press, Pen Set, Coffee Mug, Laptop Stand, Notebook, Sticky Notes, USB-C Cable, Wireless Mouse"
61,"French Press, Coffee Mug, Kitchen Scale, Screen Protector, Phone Case"
62,"Power Bank, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, USB-C Cable, Wireless Mouse"
63,"Laptop Stand, Desk Organizer, Water Bottle, Notebook, Desk Lamp, Wireless Mouse"
64,"French Press, Coffee Mug, Desk Organizer, Notebook, Bluetooth Speaker, Desk Lamp"
65,"French Press, Pen Set, Sticky Notes"
66,"Screen Protector, Phone Case, Coffee Mug, Sticky Notes"
67,"Cutting Board, French Press"
68,"Laptop Stand, Desk Organizer, Screen Protector, Phone Case, Wireless Mouse"
69,"Cutting Board, Water Bottle, Wireless Mouse, Laptop Stand"
70,"Power Bank, Pen Set, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp"
71,"USB-C Cable, Kitchen Scale, Power Bank"
72,"Power Bank, French Press, Pen Set, Coffee Mug, Laptop Stand, Kitchen Scale, Phone Case, USB-C Cable, Wireless Mouse"
73,"Power Bank, Pen Set, Laptop Stand, USB-C Cable, Bluetooth Speaker, Wireless Mouse"
74,"French Press, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Kitchen Scale, Desk Lamp"
75,"Kitchen Scale, Sticky Notes, Wireless Mouse, Laptop Stand"
76,"Power Bank, French Press, Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Kitchen Scale, Notebook, USB-C Cable, Desk Lamp, Wireless Mouse"
77,"Power Bank, Laptop Stand, Desk Organizer, Bluetooth Speaker, Wireless Mouse"
78,"Desk Organizer, Screen Protector, Notebook, Phone Case, Kitchen Scale, Sticky Notes, Desk Lamp"
79,"USB-C Cable, Wireless Mouse, Laptop Stand"
80,"French Press, Pen Set, Notebook, USB-C Cable, Wireless Mouse"
81,"USB-C Cable, Laptop Stand, Pen Set, Power Bank"
82,"Pen Set, Desk Organizer, Kitchen Scale, Notebook, Desk Lamp"
83,"Desk Lamp, Wireless Mouse"
84,"Power Bank, Pen Set, Notebook, Sticky Notes, USB-C Cable"
85,"Power Bank, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Kitchen Scale, USB-C Cable, Wireless Mouse"
86,"French Press, Phone Case, Coffee Mug"
87,"Pen Set, Notebook, Sticky Notes"
88,"Desk Organizer, Cutting Board"
89,"Phone Case, Pen Set, Notebook, Sticky Notes"
90,"Screen Protector, Phone Case, Coffee Mug"
91,"Power Bank, Pen Set, Phone Case, Notebook, USB-C Cable"
92,"USB-C Cable, Bluetooth Speaker, Desk Lamp, Power Bank"
93,"Power Bank, Cutting Board, French Press, Coffee Mug, Screen Protector, Phone Case, Notebook, USB-C Cable"
94,"Pen Set, Laptop Stand, Screen Protector, Phone Case, USB-C Cable"
95,"Pen Set, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Sticky Notes, Bluetooth Speaker, Desk Lamp, Wireless Mouse"
96,"French Press, Screen Protector, Phone Case, Coffee Mug"
